,id,budget,budget_log,genres,popularity,release_date,revenue,revenue_log,runtime,title,vote_average,vote_count,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
17,5,4000000,6.602059991," Crime, Comedy",9.026586,12/9/1995,4300000,6.633468456,98,Four Rooms,6.5,539,Tim Roth, Antonio Banderas, Jennifer Beals, Madonna, Marisa Tomei, Bruce Willis,
256,11,11000000,7.041392685," Adventure, Action, Science Fiction",42.149697,5/25/1977,775398007,8.88952468,121,Star Wars,8.1,6778,Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels,George Lucas
6255,12,94000000,7.973127854," Animation, Family",25.497794,5/30/2003,940335536,8.973282849,100,Finding Nemo,7.6,6292,Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett, Allison Janney,"Photoscience Manager, James Burgess, Fix"
351,13,55000000,7.740362689," Comedy, Drama, Romance",48.307194,7/6/1994,677945399,8.831194718,142,Forrest Gump,8.2,8147,Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field, Michael Conner Humphreys,Robert Zemeckis
2751,14,15000000,7.176091259,Drama,20.726578,9/15/1999,356296601,8.551811679,122,American Beauty,7.9,3438,Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Chris Cooper,Sam Mendes
902,15,839727,5.924138117," Mystery, Drama",15.811921,4/30/1941,23217674,7.365818709,119,Citizen Kane,8,1244,Orson Welles, Joseph Cotten, Dorothy Comingore, Ray Collins, George Coulouris, Agnes Moorehead,Orson Welles
3795,16,12800000,7.10720997," Drama, Crime, Music",10.684806,5/17/2000,40031879,7.602405975,140,Dancer in the Dark,7.7,392,Björk, Catherine Deneuve, David Morse, Peter Stormare, Joel Grey, Cara Seymour,Lars von Trier
1467,18,90000000,7.954242509," Adventure, Fantasy, Action, Thriller, Science Fiction",24.30526,5/7/1997,263920180,8.421472599,126,The Fifth Element,7.3,3962,Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich, Chris Tucker, Luke Perry," Third  Simon Downes, Third  Robert Grayson, Third  Susan Inge Wood"
6413,22,140000000,8.146128036," Adventure, Fantasy, Action",47.326665,7/9/2003,655011224,8.816248742,143,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191,Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Jonathan Pryce,"Matchmove Supervisor, Jason H. Snell"
6748,24,30000000,7.477121255," Action, Crime",25.261865,10/10/2003,180949000,8.257556187,111,Kill Bill: Vol. 1,7.7,5091,Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine, Michael Madsen,Quentin Tarantino
10546,25,72000000,7.857332496," Drama, War",9.997032,11/4/2005,96889998,7.986278947,125,Jarhead,6.6,776,Jamie Foxx, Jake Gyllenhaal, Scott MacDonald, Lucas Black, Peter Sarsgaard, Laz Alonso,Sam Mendes
