,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
0,862,30000000,0.078941309,7.477121255," Animation, Comedy, Family",21.946943,4.01E-02,10/30/1995,373554033,0.133987624,8.57235343,81,0.23964497,Toy Story,7.7,8.46E-01,5415,0.384724689,Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger,John Lasseter
1,8844,65000000,0.171047178,7.812913357," Adventure, Fantasy, Family",17.015539,3.11E-02,12/15/1995,262797249,0.094260857,8.419620815,104,0.307692308,Jumanji,6.9,7.58E-01,2413,0.171438721,Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Bebe Neuwirth,Joe Johnston
3,31357,16000000,0.042098961,7.204119983," Comedy, Drama, Romance",3.859495,7.05E-03,12/22/1995,81452156,0.029215141,7.910902584,127,0.375739645,Waiting to Exhale,6.1,6.70E-01,34,0.002415631,Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines, Dennis Haysbert,Forest Whitaker
5,949,60000000,0.157889197,7.77815125," Action, Crime, Drama, Thriller",17.924927,3.27E-02,12/15/1995,187436818,0.067230221,8.272854903,170,0.50295858,Heat,7.7,8.46E-01,1886,0.133996448,Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora,Michael Mann
8,9091,35000000,0.09209929,7.544068044," Action, Adventure, Thriller",5.23158,9.55E-03,12/22/1995,64350171,0.02308092,7.808549705,106,0.313609467,Sudden Death,5.5,6.04E-01,174,0.012362345,Jean-Claude Van Damme, Powers Boothe, Dorian Harewood, Raymond J. Barry, Ross Malinger, Whittni Wright,Peter Hyams
9,710,58000000,0.152626004,7.763427994," Adventure, Action, Thriller",14.686036,2.68E-02,11/16/1995,352194034,0.126326118,8.546781995,130,0.384615385,GoldenEye,6.6,7.25E-01,1194,0.084831261,Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench,Martin Campbell
10,9087,62000000,0.163152389,7.792391689," Comedy, Drama, Romance",6.318445,1.15E-02,11/17/1995,107879496,0.038694224,8.032938909,106,0.313609467,The American President,6.5,7.14E-01,199,0.014138544,Michael Douglas, Annette Bening, Michael J. Fox, Martin Sheen, Anna Deavere Smith, Shawna Waldron,Rob Reiner
13,10858,44000000,0.115783656,7.643452676," History, Drama",5.092,9.30E-03,12/22/1995,13681765,0.004906937,7.136142127,192,0.568047337,Nixon,7.1,7.80E-01,72,0.005115453,Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins, E.G. Marshall,Oliver Stone
14,1408,98000000,0.257889855,7.991226076," Action, Adventure",7.284477,1.33E-02,12/22/1995,10017322,0.003592557,7.000751634,119,0.352071006,Cutthroat Island,5.7,6.26E-01,137,0.00973357,Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide, Stan Shaw,Renny Harlin
15,524,52000000,0.136836427,7.716003344," Drama, Crime",10.137389,1.85E-02,11/22/1995,116112375,0.041647232,8.064878508,178,0.526627219,Casino,7.8,8.57E-01,1343,0.095417407,Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles, Alan King,Martin Scorsese
16,4584,16500000,0.043414759,7.217483944," Drama, Romance",10.673167,1.95E-02,12/13/1995,135000000,0.048421935,8.130333768,136,0.402366864,Sense and Sensibility,7.2,7.91E-01,364,0.025861456,Kate Winslet, Emma Thompson, Hugh Grant, Tom Wilkinson, Alan Rickman, Imogen Stubbs,Ang Lee
17,5,4000000,0.010519806,6.602059991," Crime, Comedy",9.026586,1.65E-02,12/9/1995,4300000,0.001541841,6.633468456,98,0.289940828,Four Rooms,6.5,7.14E-01,539,0.038294849,Tim Roth, Antonio Banderas, Jennifer Beals, Madonna, Marisa Tomei, Bruce Willis,
18,9273,30000000,0.078941309,7.477121255," Crime, Comedy, Adventure",8.205448,1.50E-02,11/10/1995,212385533,0.076178944,8.327124931,90,0.266272189,Ace Ventura: When Nature Calls,6.1,6.70E-01,1128,0.080142096,Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton, Sophie Okonedo,Steve Oedekerk
