,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
0,862,30000000,0.078947368,7.477121255," Animation, Comedy, Family",21.946943,0.040086596,10/30/1995,373554033,0.13398806,8.57235343,81,0.226537217,Toy Story,7.7,0.77,5415,0.384724689,Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger,John Lasseter
1,8844,65000000,0.171052632,7.812913357," Adventure, Fantasy, Family",17.015539,0.031079273,12/15/1995,262797249,0.094261312,8.419620815,104,0.300970874,Jumanji,6.9,0.69,2413,0.171438721,Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Bebe Neuwirth,Joe Johnston
3,31357,16000000,0.042105263,7.204119983," Comedy, Drama, Romance",3.859495,0.007049455,12/22/1995,81452156,0.029215629,7.910902584,127,0.375404531,Waiting to Exhale,6.1,0.61,34,0.002415631,Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines, Dennis Haysbert,Forest Whitaker
4,11862,0.0001,0,0,Comedy,8.387519,0.015319995,2/10/1995,76578911,0.027467672,7.884109186,106,0.307443366,Father of the Bride Part II,5.7,0.57,173,0.012291297,Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern, Kieran Culkin,Charles Shyer
5,949,60000000,0.157894737,7.77815125," Action, Crime, Drama, Thriller",17.924927,0.032740291,12/15/1995,187436818,0.06723069,8.272854903,170,0.514563107,Heat,7.7,0.77,1886,0.133996448,Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora,Michael Mann
8,9091,35000000,0.092105263,7.544068044," Action, Adventure, Thriller",5.23158,0.0095556,12/22/1995,64350171,0.023081412,7.808549705,106,0.307443366,Sudden Death,5.5,0.55,174,0.012362345,Jean-Claude Van Damme, Powers Boothe, Dorian Harewood, Raymond J. Barry, Ross Malinger, Whittni Wright,Peter Hyams
9,710,58000000,0.152631579,7.763427994," Adventure, Action, Thriller",14.686036,0.026824382,11/16/1995,352194034,0.126326558,8.546781995,130,0.385113269,GoldenEye,6.6,0.66,1194,0.084831261,Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench,Martin Campbell
10,9087,62000000,0.163157895,7.792391689," Comedy, Drama, Romance",6.318445,0.011540784,11/17/1995,107879496,0.038694708,8.032938909,106,0.307443366,The American President,6.5,0.65,199,0.014138544,Michael Douglas, Annette Bening, Michael J. Fox, Martin Sheen, Anna Deavere Smith, Shawna Waldron,Rob Reiner
12,21032,0.0001,0,0," Family, Animation, Adventure",12.140733,0.022175327,12/22/1995,11348324,0.004070468,7.054931727,78,0.216828479,Balto,7.1,0.71,423,0.030053286,Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins, Juliette Brewer,Simon Wells
15,524,52000000,0.136842105,7.716003344," Drama, Crime",10.137389,0.018516173,11/22/1995,116112375,0.041647715,8.064878508,178,0.540453074,Casino,7.8,0.78,1343,0.095417407,Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles, Alan King,Martin Scorsese
16,4584,16500000,0.043421053,7.217483944," Drama, Romance",10.673167,0.019494784,12/13/1995,135000000,0.048422414,8.130333768,136,0.404530744,Sense and Sensibility,7.2,0.72,364,0.025861456,Kate Winslet, Emma Thompson, Hugh Grant, Tom Wilkinson, Alan Rickman, Imogen Stubbs,Ang Lee
17,5,4000000,0.010526316,6.602059991," Crime, Comedy",9.026586,0.016487266,12/9/1995,4300000,0.001542343,6.633468456,98,0.281553398,Four Rooms,6.5,0.65,539,0.038294849,Tim Roth, Antonio Banderas, Jennifer Beals, Madonna, Marisa Tomei, Bruce Willis,
18,9273,30000000,0.078947368,7.477121255," Crime, Comedy, Adventure",8.205448,0.014987438,11/10/1995,212385533,0.076179409,8.327124931,90,0.25566343,Ace Ventura: When Nature Calls,6.1,0.61,1128,0.080142096,Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton, Sophie Okonedo,Steve Oedekerk
20,8012,30250000,0.079605263,7.480725379," Comedy, Thriller, Crime",12.669608,0.023141329,10/20/1995,115101622,0.041285173,8.061081444,105,0.30420712,Get Shorty,6.4,0.64,305,0.021669627,John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo,Barry Sonnenfeld
24,451,3600000,0.009473684,6.556302501," Drama, Romance",10.332025,0.01887168,10/27/1995,49800000,0.01786249,7.697229343,112,0.326860841,Leaving Las Vegas,7.1,0.71,365,0.025932504,Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber, Kim Adams,Mike Figgis
26,9263,12000000,0.031578947,7.079181246," Comedy, Drama, Family",8.681325,0.015856638,10/20/1995,27400000,0.009827956,7.437750563,100,0.28802589,Now and Then,6.6,0.66,91,0.006465364,Christina Ricci, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Ashleigh Aston Moore,Lesli Linka Glatter
30,9909,0.0001,0,0," Drama, Crime",9.481338,0.017317881,8/11/1995,180000000,0.064563218,8.255272505,99,0.284789644,Dangerous Minds,6.4,0.64,249,0.017690941,Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, John Neville, Beatrice Winde,John N. Smith
31,63,29500000,0.077631579,7.469822016," Science Fiction, Thriller, Mystery",12.297305,0.022461309,12/29/1995,168840000,0.060560299,8.227475343,129,0.381877023,Twelve Monkeys,7.4,0.74,2470,0.175488455,Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse, Jon Seda,Terry Gilliam
33,9598,30000000,0.078947368,7.477121255," Fantasy, Drama, Comedy, Family",14.404764,0.026310632,7/18/1995,254134910,0.091154265,8.405064327,89,0.252427184,Babe,6,0.6,756,0.053712256,Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn, James Cromwell,Chris Noonan
35,687,11000000,0.028947368,7.041392685,Drama,6.891317,0.012587148,12/29/1995,39363635,0.014119127,7.595095196,122,0.359223301,Dead Man Walking,7.3,0.73,350,0.024866785,Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey, Celia Weston,
39,34615,0.0001,0,0,Drama,0.894647,0.001634092,12/15/1995,676525,0.000242659,5.83028385,106,0.307443366,"Cry, the Beloved Country",6.7,0.67,13,0.000923623,James Earl Jones, Charles S. Dutton, Jack Robinson, Tsholofelo Wechoemang, Ramalao Makhene, Richard Harris,Darrell James Roodt
43,9312,18000000,0.047368421,7.255272505," Action, Fantasy",10.870138,0.019854556,8/18/1995,122195920,0.043829788,8.087056705,101,0.291262136,Mortal Kombat,5.4,0.54,452,0.032113677,Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson, Talisa Soto,Paul W.S. Anderson
44,577,20000000,0.052631579,7.301029996," Fantasy, Drama, Comedy, Thriller",10.448481,0.01908439,5/20/1995,21284514,0.007634426,7.328063738,106,0.307443366,To Die For,6.7,0.67,177,0.012575488,Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas, Alison Folland,Gus Van Sant
45,11861,10000000,0.026315789,7," Drama, Romance",4.485958,0.008193704,10/6/1995,23574130,0.008455676,7.372435674,116,0.339805825,How To Make An American Quilt,6.5,0.65,38,0.002699822,Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Jean Simmons, Maya Angelou,Jocelyn Moorhouse
46,807,33000000,0.086842105,7.51851394," Crime, Mystery, Thriller",18.45743,0.03371292,9/22/1995,327311859,0.117401706,8.514961741,127,0.375404531,Se7en,8.1,0.81,5915,0.420248668,Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, Kevin Spacey, R. Lee Ermey,
