id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director,keywords,woman director,independent film,murder,based on novel,musical,sex,violence,nudity,biography,revenge,suspense,love,female nudity,sport,police,Martin Scorsese,Ang Lee,Steven Spielberg
862,30000000,0.078947368,7.477121255," Animation, Comedy, Family",21.946943,0.040086596,10/30/1995,373554033,0.13398806,8.57235343,81,0.226537217,Toy Story,7.7,0.77,5415,0.384724689,Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger,John Lasseter,"[jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8844,65000000,0.171052632,7.812913357," Adventure, Fantasy, Family",17.015539,0.031079273,12/15/1995,262797249,0.094261312,8.419620815,104,0.300970874,Jumanji,6.9,0.69,2413,0.171438721,Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Bebe Neuwirth,Joe Johnston,"[board game, disappearance, new home, recluse, giant insect]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31357,16000000,0.042105263,7.204119983," Comedy, Drama, Romance",3.859495,0.007049455,12/22/1995,81452156,0.029215629,7.910902584,127,0.375404531,Waiting to Exhale,6.1,0.61,34,0.002415631,Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines, Dennis Haysbert,Forest Whitaker,"[based on novel, interracial relationship, single mother, divorce, chick flick]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11862,0.0001,0,0,Comedy,8.387519,0.015319995,2/10/1995,76578911,0.027467672,7.884109186,106,0.307443366,Father of the Bride Part II,5.7,0.57,173,0.012291297,Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern, Kieran Culkin,Charles Shyer,"[baby, midlife crisis, confidence, aging, daughter, mother daughter relationship, pregnancy, contraception, gynecologist]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949,60000000,0.157894737,7.77815125," Action, Crime, Drama, Thriller",17.924927,0.032740291,12/15/1995,187436818,0.06723069,8.272854903,170,0.514563107,Heat,7.7,0.77,1886,0.133996448,Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora,Michael Mann,"[robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense, heist, betrayal, money, gang, cat and mouse, criminal mastermind, cult film, ex-con, heist movie, one last job, loner, bank job, neo-noir, gun fight, crime epic]",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9091,35000000,0.092105263,7.544068044," Action, Adventure, Thriller",5.23158,0.0095556,12/22/1995,64350171,0.023081412,7.808549705,106,0.307443366,Sudden Death,5.5,0.55,174,0.012362345,Jean-Claude Van Damme, Powers Boothe, Dorian Harewood, Raymond J. Barry, Ross Malinger, Whittni Wright,Peter Hyams,"[terrorist, hostage, explosive, vice president]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,58000000,0.152631579,7.763427994," Adventure, Action, Thriller",14.686036,0.026824382,11/16/1995,352194034,0.126326558,8.546781995,130,0.385113269,GoldenEye,6.6,0.66,1194,0.084831261,Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench,Martin Campbell,"[cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9087,62000000,0.163157895,7.792391689," Comedy, Drama, Romance",6.318445,0.011540784,11/17/1995,107879496,0.038694708,8.032938909,106,0.307443366,The American President,6.5,0.65,199,0.014138544,Michael Douglas, Annette Bening, Michael J. Fox, Martin Sheen, Anna Deavere Smith, Shawna Waldron,Rob Reiner,"[white house, usa president, new love, widower, wildlife conservation]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21032,0.0001,0,0," Family, Animation, Adventure",12.140733,0.022175327,12/22/1995,11348324,0.004070468,7.054931727,78,0.216828479,Balto,7.1,0.71,423,0.030053286,Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins, Juliette Brewer,Simon Wells,"[wolf, dog-sledding race, alaska, dog, goose, bear attack, dog sled, frozen lake]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,52000000,0.136842105,7.716003344," Drama, Crime",10.137389,0.018516173,11/22/1995,116112375,0.041647715,8.064878508,178,0.540453074,Casino,7.8,0.78,1343,0.095417407,Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles, Alan King,Martin Scorsese,"[poker, drug abuse, 1970s, overdose, illegal prostitution]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
