index,pred,y_test
0,-5.19E+06,1.00E-04
1,4.99E+07,2.12E+07
2,8.87E+07,5.84E+07
3,1.76E+08,4.15E+08
4,-3.69E+06,1.00E-04
5,-3.05E+06,1.00E-04
6,4.60E+06,1.00E-04
7,9.28E+07,3.30E+07
8,-2.00E+06,1.00E-04
9,-3.44E+06,1.00E-04
10,1.11E+07,1.00E-04
11,-5.39E+06,1.00E-04
12,-3.31E+06,3.99E+02
13,1.86E+06,1.00E-04
14,5.28E+07,1.68E+06
15,-3.34E+06,1.00E-04
16,-4.31E+06,1.00E-04
17,-3.93E+06,1.00E-04
18,-2.88E+06,1.00E-04
19,2.59E+07,1.57E+06
20,7.01E+05,7.80E+07
21,-4.46E+06,1.00E-04
22,-1.16E+06,1.00E-04
23,-5.02E+06,1.00E-04
24,2.41E+06,1.00E-04
25,-5.22E+06,1.00E-04
26,4.17E+06,1.00E-04
27,1.02E+07,1.39E+07
28,-3.88E+06,1.00E-04
29,-4.03E+06,1.00E-04
30,-3.89E+06,1.00E-04
31,-5.22E+06,1.00E-04
32,-1.29E+06,1.00E-04
33,-5.93E+06,1.00E-04
34,-5.80E+06,1.00E-04
35,7.05E+07,1.11E+07
36,2.09E+05,1.00E-04
37,1.56E+08,3.32E+06
38,-5.35E+06,1.00E-04
39,6.23E+06,1.00E-04
40,1.79E+08,2.29E+08
41,3.18E+06,1.00E-04
42,-5.03E+06,1.00E-04
43,6.75E+07,2.78E+08
44,7.50E+06,1.00E-04
45,-1.69E+06,1.00E-04
46,-4.26E+06,1.00E-04
47,3.37E+06,1.00E-04
48,2.87E+08,1.21E+08
49,-1.24E+06,1.00E-04
50,-3.62E+06,1.00E-04
51,-2.32E+06,1.00E-04
52,-5.27E+06,1.00E-04
53,3.38E+06,1.75E+07
54,1.20E+07,1.00E-04
55,-3.42E+06,1.00E-04
56,1.52E+07,1.00E-04
57,4.83E+08,7.87E+08
58,6.65E+07,1.31E+07
59,-5.29E+06,1.00E-04
60,-5.35E+06,1.00E-04
61,-5.64E+06,1.00E-04
62,2.75E+07,1.00E-04
63,2.95E+07,1.00E-04
64,1.98E+07,3.33E+06
65,-5.94E+06,1.00E-04
66,-3.53E+06,1.00E-04
67,-4.47E+06,1.00E-04
68,3.10E+08,6.26E+08
69,-3.21E+06,1.00E-04
70,-4.04E+06,1.00E-04
71,2.50E+06,1.00E-04
72,-3.98E+06,1.00E-04
73,3.50E+06,1.00E-04
74,-1.13E+06,1.00E-04
75,4.74E+06,1.00E-04
76,-1.14E+06,1.00E-04
77,-1.95E+06,1.00E-04
78,1.72E+08,1.05E+08
79,5.41E+06,1.00E-04
80,-3.82E+06,1.00E-04
81,-5.19E+06,1.00E-04
82,3.19E+07,4.88E+06
83,3.83E+06,1.00E-04
84,-4.30E+06,1.00E-04
85,3.44E+06,1.00E-04
86,-1.13E+06,1.00E-04
87,1.62E+07,1.00E-04
88,-5.57E+06,1.00E-04
89,-1.75E+06,1.00E-04
90,1.63E+05,1.00E-04
91,3.76E+06,1.00E-04
92,4.79E+07,1.00E-04
93,2.58E+07,6.00E+00
94,-2.51E+06,1.00E-04
95,-5.77E+06,1.00E-04
96,-3.34E+06,1.00E-04
97,-4.74E+06,1.00E-04
98,-5.05E+06,1.00E-04
99,1.84E+07,5.72E+07
100,2.38E+07,1.00E-04
101,-3.92E+06,1.00E-04
102,-1.67E+06,1.00E-04
103,-4.98E+06,1.00E-04
104,-4.08E+06,1.00E-04
105,-4.75E+06,1.00E-04
106,-4.54E+06,1.00E-04
107,-3.03E+06,1.00E-04
108,-3.83E+06,1.00E-04
109,-4.20E+06,1.00E-04
110,4.31E+06,1.00E-04
111,9.30E+07,1.51E+08
112,1.99E+07,1.00E-04
113,-3.11E+06,1.00E-04
114,-4.59E+06,3.00E+00
115,-4.80E+06,1.00E-04
116,-3.53E+06,1.00E-04
117,1.64E+07,6.48E+07
118,-1.77E+06,1.00E-04
119,-5.33E+06,1.00E-04
120,1.36E+07,1.00E-04
121,-2.96E+06,1.00E-04
122,-5.93E+06,1.00E-04
123,-2.28E+06,1.00E-04
124,6.38E+06,1.00E-04
125,-2.50E+06,1.00E-04
126,-1.16E+06,1.00E-04
127,-2.50E+05,1.00E-04
128,-5.49E+06,1.00E-04
129,-5.02E+06,1.00E-04
130,8.31E+06,1.06E+07
131,-2.99E+06,1.00E-04
132,1.41E+07,1.00E-04
133,-5.18E+06,1.00E-04
134,9.07E+06,1.00E-04
135,-4.33E+06,1.00E-04
136,1.05E+07,1.00E-04
137,1.13E+07,2.50E+05
138,8.52E+07,9.82E+07
139,7.12E+06,1.00E-04
140,-4.74E+06,1.00E-04
141,-2.74E+06,1.00E-04
142,1.44E+06,1.00E-04
143,-4.73E+06,1.00E-04
144,-5.43E+06,1.00E-04
145,-1.84E+06,1.00E-04
146,-4.31E+06,1.00E-04
147,2.60E+06,1.00E-04
148,-1.82E+06,1.00E-04
149,-3.01E+06,1.00E-04
150,1.19E+07,1.15E+07
151,-5.03E+06,1.00E-04
152,2.75E+07,1.00E-04
153,-1.70E+06,1.00E-04
154,-5.72E+06,1.00E-04
155,7.00E+07,1.00E-04
156,-2.41E+04,1.00E-04
157,-5.49E+06,1.00E-04
158,3.38E+07,4.00E+08
159,-4.75E+06,1.00E-04
160,1.09E+08,7.97E+07
161,1.24E+07,1.00E-04
162,-4.44E+06,1.00E-04
163,-3.82E+06,1.00E-04
164,-4.89E+06,1.00E-04
165,3.42E+08,3.47E+08
166,1.92E+07,1.00E-04
167,-5.69E+06,1.00E-04
168,-4.90E+06,1.00E-04
169,-5.94E+06,1.00E-04
170,-4.76E+06,1.00E-04
171,9.11E+07,1.00E-04
172,-5.94E+06,1.00E-04
173,-5.11E+06,1.00E-04
174,-4.65E+06,1.00E-04
175,-3.35E+06,1.00E-04
176,-2.72E+06,1.00E-04
177,8.53E+07,1.83E+08
178,-2.60E+06,1.00E-04
179,-3.58E+06,1.00E-04
180,1.00E+07,1.00E-04
181,-1.72E+06,1.00E-04
182,1.28E+06,1.00E-04
183,6.39E+07,2.68E+08
184,-1.18E+06,1.00E-04
185,-4.46E+06,1.22E+06
186,7.02E+07,1.66E+07
187,4.06E+04,2.13E+07
188,3.14E+06,1.23E+06
189,1.83E+08,1.87E+07
190,-1.72E+06,1.00E-04
191,-3.83E+06,1.00E-04
192,-3.78E+06,1.00E-04
193,-5.94E+06,1.00E-04
194,-3.48E+06,1.00E-04
195,-5.91E+06,1.00E-04
196,4.25E+06,1.00E-04
197,2.40E+07,1.00E-04
198,-4.56E+06,1.00E-04
199,2.56E+07,1.43E+05
200,-4.48E+06,1.00E-04
201,5.27E+06,1.00E-04
202,-4.30E+06,1.00E-04
203,1.74E+07,1.00E-04
204,-3.88E+06,1.00E-04
205,-1.64E+06,1.00E-04
206,5.22E+08,7.83E+08
207,-3.07E+06,1.00E-04
208,4.49E+06,1.00E-04
209,-4.76E+06,1.00E-04
210,7.14E+06,1.00E-04
211,-4.65E+06,1.00E-04
212,-5.92E+06,3.00E+00
213,-5.38E+06,1.00E-04
214,-4.18E+06,1.00E-04
215,-3.17E+06,1.00E-04
216,3.51E+07,3.00E+07
217,-2.34E+06,1.00E-04
218,1.51E+08,1.90E+08
219,-3.11E+06,3.00E+00
220,1.22E+07,1.00E-04
221,-4.90E+06,1.00E-04
222,3.44E+08,2.96E+08
223,5.01E+06,1.00E-04
224,-3.93E+06,1.00E-04
225,1.73E+05,1.00E-04
226,-5.10E+06,1.00E-04
227,1.88E+07,1.00E-04
228,1.81E+05,1.00E-04
229,-4.67E+06,1.00E-04
230,-4.92E+06,1.00E-04
231,-3.65E+06,1.00E-04
232,6.12E+06,1.00E-04
233,6.52E+05,1.00E-04
234,-9.92E+05,1.00E-04
235,-1.62E+06,1.00E-04
236,1.60E+07,3.37E+06
237,-1.88E+06,1.00E-04
238,-4.67E+06,1.00E-04
239,1.05E+08,1.46E+08
240,-1.50E+06,1.00E-04
241,-2.47E+06,1.00E-04
242,1.91E+07,1.00E-04
243,-4.46E+06,1.00E-04
